Fungsi,desa,ID
Industri,BOKO HARJO,4
Industri,DONOHARJO,1
Industri,GIRI KERTO,1
Industri,KALI TIRTO,2
Industri,MAGUWOHARJO,13
Industri,PANDOWO HARJO,1
Industri,PURWO MARTANI,8
Industri,SELO MARTANI,1
Industri,SENDANG TIRTO,1
Industri,SENDANGADI,3
Industri,SIDOLUHUR,1
Industri,SINDUADI,1
Industri,SUMBER HARJO,1
Industri,TEGAL TIRTO,1
Industri,TIRTO MARTANI,5
Industri,TRIDADI,2
Industri,TRIHANGGO,2
Kantor Pemerintahan,ARGO MULYO,2
Kantor Pemerintahan,BIMO MARTANI,1
Kantor Pemerintahan,BOKO HARJO,6
Kantor Pemerintahan,CATUR TUNGGAL,9
Kantor Pemerintahan,CONDONG CATUR,7
Kantor Pemerintahan,DONOKERTO,4
Kantor Pemerintahan,GIRI KERTO,1
Kantor Pemerintahan,HARGO BINANGUN,3
Kantor Pemerintahan,JOGO TIRTO,1
Kantor Pemerintahan,KALI TIRTO,3
Kantor Pemerintahan,KEPUH HARJO,1
Kantor Pemerintahan,MADU REJO,3
Kantor Pemerintahan,MAGUWOHARJO,12
Kantor Pemerintahan,MARGO REJO,2
Kantor Pemerintahan,MARGOAGUNG,1
Kantor Pemerintahan,MARGODADI,1
Kantor Pemerintahan,MARGOMULYO,1
Kantor Pemerintahan,MERDIKO REJO,1
Kantor Pemerintahan,NOGOTIRTO,1
Kantor Pemerintahan,PURWO BINANGUN,1
Kantor Pemerintahan,PURWO MARTANI,3
Kantor Pemerintahan,SELO MARTANI,2
Kantor Pemerintahan,SENDANG MULYO,3
Kantor Pemerintahan,SENDANG REJO,1
Kantor Pemerintahan,SENDANG TIRTO,2
Kantor Pemerintahan,SENDANGADI,1
Kantor Pemerintahan,SENDANGAGUNG,1
Kantor Pemerintahan,SIDOAGUNG,3
Kantor Pemerintahan,SIDOKARTO,1
Kantor Pemerintahan,SIDOLUHUR,4
Kantor Pemerintahan,SINDUADI,1
Kantor Pemerintahan,SINDUHARJO,1
Kantor Pemerintahan,SUKO HARJO,3
Kantor Pemerintahan,SUMBER AGUNG,4
Kantor Pemerintahan,SUMBER HARJO,1
Kantor Pemerintahan,TAMAN MARTANI,3
Kantor Pemerintahan,TEGAL TIRTO,2
Kantor Pemerintahan,TIRTO MARTANI,8
Kantor Pemerintahan,TIRTOADI,2
Kantor Pemerintahan,TLOGOADI,1
Kantor Pemerintahan,TRIDADI,20
Kantor Pemerintahan,TRIHARJO,2
Kantor Pemerintahan,UMBULMARTANI,1
Kantor Pemerintahan,WEDOMARTANI,2
Kantor Pemerintahan,WIDODO MARTANI,3
Kantor Pemerintahan,WONO KERTO,1
Kantor Pemerintahan,WUKIR HARJO,1
Kantor Pemerintahan,WUKIR SARI,1
Kesehatan,BIMO MARTANI,1
Kesehatan,CONDONG CATUR,2
Kesehatan,DONOKERTO,1
Kesehatan,HARGO BINANGUN,1
Kesehatan,MADU REJO,1
Kesehatan,MAGUWOHARJO,1
Kesehatan,MARGOKATON,2
Kesehatan,PANDOWO HARJO,1
Kesehatan,PURWO MARTANI,2
Kesehatan,SARI HARJO,1
Kesehatan,SENDANG TIRTO,1
Kesehatan,SIDOAGUNG,1
Kesehatan,SUKO HARJO,1
Kesehatan,SUMBERARUM,1
Kesehatan,TAMBAK REJO,1
Kesehatan,TEGAL TIRTO,1
Kesehatan,TIRTO MARTANI,2
